Ticker,Strategy_Score,Lookback_Return_Ann,Lookback_ATRP
A,0.44105319,2.53065642,0.02276888
AA,0.11005739,1.08357368,0.03906957
AAL,0.21539307,1.89489245,0.03491020
AAPL,-0.29456136,-1.43760630,0.01936706
ABBV,-0.18171388,-0.87989736,0.01921513
ABNB,0.10394163,0.73929492,0.02822459
ABT,0.04027293,0.15679618,0.01544976
ACGL,0.23737914,1.14335886,0.01911347
ACM,0.13180822,0.63412883,0.01909125
ACN,0.07032349,0.39112456,0.02207060
ACWI,0.17747102,0.50618155,0.01131823
ADBE,-0.08102530,-0.59996066,0.02938337
ADI,0.14412812,0.95652706,0.02633589
ADM,0.09603265,0.55075478,0.02275825
ADP,0.15109017,0.57511733,0.01510496
ADSK,-0.02376793,-0.13306189,0.02221579
AEE,0.34424401,1.45647243,0.01678941
AEM,0.14363673,0.95101224,0.02627363
AEP,0.33614437,1.43296047,0.01691640
AER,-0.03272349,-0.16300855,0.01976743
AES,-0.26611978,-2.43276528,0.03627626
AFL,0.22940644,1.01735603,0.01759814
AFRM,-0.10307829,-1.68893865,0.06501987
AGCO,0.36108565,2.79014228,0.03066307
AGG,0.00393013,0.00420195,0.00424271
AGNC,0.20870058,0.89936835,0.01710068
AIG,0.15280027,0.73847822,0.01917843
AJG,0.33421779,1.69240433,0.02009435
AKAM,-0.19128710,-1.15360391,0.02393153
ALAB,-0.00660175,-0.10044041,0.06037381
ALB,0.33010864,3.48530173,0.04189700
ALC,0.07266364,0.28129293,0.01536177
ALGN,0.21364181,1.89187354,0.03514029
ALL,-0.05586124,-0.32606627,0.02316300
ALLE,0.20646066,0.97959599,0.01882821
ALLY,0.12087399,0.87722760,0.02879910
ALNY,0.18335830,1.51212867,0.03272560
AMAT,0.56452743,4.10072306,0.02882537
AMCR,0.19329596,0.93528392,0.01920084
AMD,0.03025036,0.28952383,0.03797985
AME,0.08403462,0.34315336,0.01620427
AMGN,0.23342342,1.23785876,0.02104390
AMH,-0.20659544,-1.05730219,0.02030850
AMP,0.22722157,1.07115081,0.01870684
AMT,0.22488766,1.33477073,0.02355269
AMZN,0.11529775,0.68053763,0.02342237
AN,0.44993152,2.65443469,0.02341128
ANET,0.22494273,1.82987581,0.03228116
AON,0.20223127,0.80198454,0.01573683
AOS,0.33303839,1.65469500,0.01971620
APA,0.13964552,1.11333752,0.03163729
APD,0.61804533,2.93186450,0.01882448
APH,0.03203594,0.18583462,0.02301911
APO,0.03194568,0.24398898,0.03030802
APP,0.01045580,0.17110487,0.06493887
APTV,0.05457388,0.38089733,0.02769635
AR,0.40762390,3.30438629,0.03216849
ARCC,0.36930238,1.08580554,0.01166727
ARE,0.18924436,1.11681366,0.02341840
ARES,0.26432872,1.75653740,0.02637014
ARGX,0.15011200,0.85254395,0.02253725
ARKK,0.13978881,1.26603302,0.03593950
ARM,0.33192008,4.04480765,0.04835750
ARMK,0.26686573,1.46789901,0.02182744
ASML,0.29555635,2.03801562,0.02736319
ASTS,-0.03661552,-0.75319298,0.08162826
ASX,0.18555153,1.29054049,0.02759984
ATI,0.15288864,0.98576532,0.02558573
ATO,0.30830872,1.28579547,0.01654953
AVB,0.03013107,0.14688508,0.01934473
AVGO,0.05714694,0.62854374,0.04364576
AVTR,0.17393102,1.10303492,0.02516585
AVY,0.23103501,1.09097116,0.01873851
AWK,0.12136772,0.56618576,0.01851208
AXON,-0.00555300,-0.05346371,0.03820595
AXP,0.24774879,1.26538028,0.02026791
AZN,0.06985588,0.28588387,0.01624000
AZO,-0.03462465,-0.15767452,0.01807072
B,0.01078200,0.07030408,0.02587503
BA,-0.01253332,-0.09895230,0.03132993
BABA,0.01486521,0.08912883,0.02379287
BAC,0.25675442,1.27212980,0.01966133
BAH,0.20393202,1.53938778,0.02995450
BALL,-0.00825526,-0.04594798,0.02208692
BAX,0.23552109,1.46762993,0.02472784
BBJP,-0.11176575,-0.32017721,0.01136792
BBY,-0.18041100,-1.25679635,0.02764403
BCE,-0.01418230,-0.08442714,0.02362299
BCS,0.40062866,2.19854428,0.02177673
BDX,0.25663287,1.19465072,0.01847260
BEKE,-0.09974193,-1.05028223,0.04178570
BEN,-0.09713270,-0.70066484,0.02862492
BF-B,-0.22709999,-1.96552406,0.03434478
BG,0.10876540,0.66987525,0.02444008
BHP,0.11355863,0.45579903,0.01592769
BIDU,0.01752383,0.12714464,0.02879178
BIIB,-0.25337678,-1.59802036,0.02502736
BIL,0.78458974,0.04954876,0.00025060
BILI,0.04582534,0.57968427,0.05019787
BIV,-0.01658421,-0.01824715,0.00436616
BJ,0.29755073,1.94515483,0.02594135
BK,0.41889281,1.94146724,0.01839190
BKLN,0.25211806,0.09561633,0.00150497
BKNG,0.00635551,0.03210913,0.02004829
BKR,0.51012833,2.88489565,0.02244141
BLD,0.33986055,2.82468882,0.03298142
BLDR,0.43636013,3.76123866,0.03420466
BLK,-0.04482834,-0.24498272,0.02168614
BMRN,-0.29589872,-1.90178984,0.02550462
BMY,0.01220380,0.06201253,0.02016433
BN,0.05380876,0.34224541,0.02523969
BND,0.00456532,0.00490404,0.00426267
BNDX,-0.12776373,-0.09667494,0.00300266
BNS,-0.28027916,-0.96624964,0.01368037
BP,0.31549712,1.46708274,0.01845265
BR,0.09904656,0.42338763,0.01696283
BRK-B,0.26774301,0.93982284,0.01392924
BRKR,-0.07979985,-0.73460522,0.03653015
BRO,0.28580355,1.23829207,0.01719313
BROS,0.15200155,1.55419637,0.04057489
BSV,0.03894743,0.01988394,0.00202592
BSX,0.56469773,2.52377447,0.01773511
BTI,-0.04630199,-0.15096009,0.01293785
BUD,-0.20967663,-0.93421294,0.01768053
BURL,0.06025781,0.43695079,0.02877522
BWA,0.11949204,0.79244504,0.02631659
BX,0.13654384,0.95557823,0.02777113
BXP,-0.01659175,-0.12119866,0.02898711
C,0.66153541,3.46577649,0.02078964
CAG,-0.32930785,-1.71510422,0.02066750
CAH,0.37001100,1.72282718,0.01847679
CARR,0.09021575,0.50845158,0.02236489
CART,0.21622663,1.96239763,0.03601449
CASY,-0.03448153,-0.18858555,0.02170308
CAT,0.34008346,1.81413574,0.02116819
CB,-0.05562219,-0.24919254,0.01777814
CBOE,-0.03834280,-0.20340763,0.02105149
CBRE,0.21050485,1.41222606,0.02662206
