Date,Period,Adj Close,Daily_Return,Adj High,Adj Low,High_Minus_Low,Abs_High_vs_PrevClose,Abs_Low_vs_PrevClose,True_Range,ATR_14,ATRP,Volume,Adj Open
2023-05-01,Calculation,2.03000000,,2.06000000,1.95100000,0.10900000,,,,,,875400,1.98000000
2023-05-02,Calculation,1.95000000,-0.03940887,2.07000000,1.93000000,0.14000000,0.04000000,0.10000000,0.14000000,0.14000000,0.07179487,1291500,2.02000000
2023-05-03,Calculation,2.06000000,0.05641026,2.11500000,1.97000000,0.14500000,0.16500000,0.02000000,0.16500000,0.14178571,0.06882802,1188400,1.97000000
2023-05-04,Calculation,2.03000000,-0.01456311,2.12900000,2.01000000,0.11900000,0.06900000,0.05000000,0.11900000,0.14015816,0.06904343,970500,2.06000000
2023-05-05,Calculation,2.12000000,0.04433498,2.12000000,2.05000000,0.07000000,0.09000000,0.02000000,0.09000000,0.13657544,0.06442238,999400,2.06000000
2023-05-08,Calculation,2.14000000,0.00943396,2.23000000,2.11000000,0.12000000,0.11000000,0.01000000,0.12000000,0.13539148,0.06326705,1344000,2.12000000
2023-05-09,Calculation,2.25000000,0.05140187,2.28000000,2.12000000,0.16000000,0.14000000,0.02000000,0.16000000,0.13714923,0.06095521,1495500,2.20000000
2023-05-10,Calculation,2.38000000,0.05777778,2.42000000,2.28000000,0.14000000,0.17000000,0.03000000,0.17000000,0.13949571,0.05861164,2049300,2.32000000
2023-05-11,Calculation,2.37000000,-0.00420168,2.42000000,2.30000000,0.12000000,0.04000000,0.08000000,0.12000000,0.13810316,0.05827138,1116400,2.38000000
2023-05-12,Calculation,2.00000000,-0.15611814,2.33000000,1.91000000,0.42000000,0.04000000,0.46000000,0.46000000,0.16109579,0.08054790,2569400,2.27000000
2023-05-15,Calculation,2.37000000,0.18500000,2.37000000,2.10000000,0.27000000,0.37000000,0.10000000,0.37000000,0.17601752,0.07426900,2289200,2.11000000
